Orden;Clase de orden;Ubicac.técnica;Fe.inic.extrema;Texto breve;Status usuario;Status sistema;Cl.actividad PM;Cst.tot.reales;Ce.emplazam.;Fe.inicio real;Fecha fin real;Plan mant.prev.;Pos.mantenim.;;
10033716;PM01;DAL-LD-STER-P4110A5;12/10/2021;Cambiar conector de Bomba de Acidos;EJEC;CTEC NOTI KKMP NLIQ PREC;1;556,40;CEGD;11/10/2021;11/10/2021;0;0;;
10033723;PM01;COL-SV-SREF-E9440B;12/10/2021;"Reemplazar empaque de valvula 4""";EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;0,01;CEGS;;;0;0;;
10033728;PM01;COL-SV-ELAB-LB9910;12/10/2021;Calibrar centrifuga de insolubilidad;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033749;PM02;COL-P1-RALM;12/10/2021;Inspección/Mant alumbrado RALM;CREA;ABIE KKMP NLIQ PREC;1;0,00;CEGS;;;150202;1876;;
10033751;PM02;COL-SV-SVAP;12/10/2021;Inspección alumbrado Área Sist. Vapor;CREA;ABIE KKMP NLIQ PREC;3;0,00;CEGS;;;150209;1883;;
10033753;PM02;COL-P1-RALM;12/10/2021;Inspec./Mant. alumbrado P1-RALM;CREA;ABIE KKMP PREC;1;0,00;CEGS;;;150160;1802;;
10033754;PM02;COL-SV-ACOM;12/10/2021;Inspec./Mant. alumbrado SV-ACOM;CREA;ABIE KKMP NLIQ PREC;1;0,00;CEGS;;;150160;1803;;
10033755;PM02;COL-SV-SVAP;12/10/2021;Inspec./Mant. alumbrado SV-SVAP;CREA;ABIE KKMP PREC;1;0,00;CEGS;;;150160;1804;;
10033756;PM02;COL-P1-EDIL;12/10/2021;Inspec./Mant. alumbrado P1-EDIL;CREA;ABIE KKMP NLIQ PREC;1;0,00;CEGS;;;150160;1805;;
10033757;PM02;COL-PC-MEZC;12/10/2021;Inspec./Mant. alumbrado PC-MEZC;CREA;ABIE KKMP NLIQ PREC;1;0,00;CEGS;;;150160;1806;;
10033758;PM02;COL-MQ-MENV;12/10/2021;Inspec./Mant. alumbrado MQ-MENV;CREA;ABIE KKMP NLIQ PREC;1;0,00;CEGS;;;150160;1807;;
10033677;PM02;DAL-SV-SREF;11/10/2021;Inspección motor-bomba de E-9410A;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150300;2122;;
10033678;PM02;DAL-SV-SREF;11/10/2021;Inspección Blowers de E-9410A;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150300;2123;;
10033679;PM02;DAL-SV-SREF;11/10/2021;Inspección motores de blowers E-9410A;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150300;2124;;
10033680;PM02;DAL-SV-SREF;11/10/2021;Inspección tablero cond. evap. A/B;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150300;2141;;
10033681;PM02;DAL-SV-SREF;11/10/2021;Inspección motor-bomba de E-9410B;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150301;2126;;
10033682;PM02;DAL-SV-SREF;11/10/2021;Inspección Blowers de E-9410B;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150301;2127;;
10033683;PM02;DAL-SV-SREF;11/10/2021;Inspección motores de blowers E-9410B;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150301;2128;;
10033706;PM01;COL-SV-SREF-E9440B;11/10/2021;Fabricar e instalar pasarela para operad;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;22,05;CEGS;;;0;0;;
10033707;PM01;COL-SV-ELEC-GM9609;11/10/2021;Servicio y cambio de aceite;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;367,32;CEGS;;;0;0;;
10033709;PM01;COL-P1-SECA-BLM1411;11/10/2021;Motor no enciende explosion en bornera;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;144,09;CEGS;;;0;0;;
10033710;PM01;PAR-MS-EMPA-FL1310B;11/10/2021;TAPA CONICA #2 ROTA;ESPS;LIB. KKMP NLIQ PREC;1;0,00;CEPF;;;0;0;;
10033712;PM01;DAL-QN-MEZC-HG2230;11/10/2021;Reemplazo empaques Homog.mezcla;EJEC;LIB. FMAT MOVM NLIQ PREC;1;253,57;CEGD;;;0;0;;
10033715;PM01;DAL-QN-PAST-FC2320;11/10/2021;Cambiar variador en Descremadora;EJEC;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033717;PM01;DAL-LD-ENVA-FL4200A;11/10/2021;TRABAJOS VARIOS EN LLENADORA UHT;EJEC;CTEC NOTI KKMP NLIQ PREC;1;278,20;CEGD;12/10/2021;12/10/2021;0;0;;
10033718;PM01;DAL-QN-EMPA-PK2510;11/10/2021;REPARAR PANTALLA DE ENCENDIDO EMP.VACIO;EJEC;CTEC NOTI KKMP NLIQ PREC;1;556,40;CEGD;21/10/2021;21/10/2021;0;0;;
10033727;PM01;COL-SV-ELAB-LB9902;11/10/2021;CALIBRAR CRIOSCOPIO;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033804;PM01;DAL-QN-RALM-FC2140;11/10/2021;REPONER VARIADOR FREC.EN CLARIFICADORA;ESPR;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033705;PM01;DAL-QP-ENVA-TP1220;10/10/2021;Alineacion correas de sellado tapadora;EJEC;CTEC NOTI KKMP NLIQ PREC;1;417,30;CEGD;01/10/2021;01/10/2021;0;0;;
10033719;PM01;DAL-QP-PPRE-BD1130B;10/10/2021;CORREGIR FUGA EN MEZCLADOR;EJEC;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033466;PM01;COL-P1-EDIL-A1240C;09/10/2021;Reemplazar empaques de agitador tanque 3;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033651;PM02;DAL-QN-MEZC-HG2230;09/10/2021;Mantenimiento Homogeneizador HG2230;ESPR;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;150507;2460;;
10033686;PM01;COL-AX-EDIF-ED8010;09/10/2021;Reemplazar alumbrado del area del tamiz;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033687;PM01;COL-P1-EVAP-BLM1310B;09/10/2021;Reparar contactor de motor de turbina;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;0,04;CEGS;;;0;0;;
10033688;PM01;COL-P1-EVAP-PM1311;09/10/2021;Reemplazar termico de motor de bomba tor;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033689;PM01;COL-P1-EVAP-Q1360;09/10/2021;Instalar by pass tina de condensado;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;100,39;CEGS;;;0;0;;
10033690;PM01;COL-P1-SECA-Z1450;09/10/2021;Reemplazar cinta termica selladora sacos;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;271,81;CEGS;;;0;0;;
10033691;PM01;COL-PC-FLEX-CY3111B3;09/10/2021;Reemplazar piñon y cadena de transportad;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;0,07;CEGS;;;0;0;;
10033692;PM01;COL-AX-EDIF-ED8008;09/10/2021;Desinstalar lampara deteriorada;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033693;PM01;COL-PC-FLEX-Z3120A;09/10/2021;Reemplazar tornilleria de puente elevado;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033694;PM01;COL-PC-FLEX-Z3120B;09/10/2021;Reemplazar tornilleria de puente elevado;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033695;PM01;COL-P1-EDIL-AM1240A;09/10/2021;Reinicair arrancador de agitador #1;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033696;PM01;COL-SV-SREF-K9400C;09/10/2021;Chequear y completar nivel aceite Mycom3;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;378,68;CEGS;;;0;0;;
10033697;PM01;COL-SV-SVAP-B9100A;09/10/2021;Revision y reemplazo de rele de sensor;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;5,45;CEGS;;;0;0;;
10033698;PM01;COL-AX-AUTO-X8007;09/10/2021;Chequear y completar nivel de aceite;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;1,18;CEGS;;;0;0;;
